OBJECTID,stop_UID,stop_agency,stop_id,route_id
1,NCTD_10374,NCTD,10374,301
2,NCTD_10391,NCTD,10391,301
3,NCTD_10400,NCTD,10400,301
4,NCTD_10772,NCTD,10772,301
5,NCTD_10793,NCTD,10793,301
6,NCTD_11151,NCTD,11151,301
7,NCTD_11538,NCTD,11538,301
8,NCTD_11539,NCTD,11539,301
9,NCTD_11541,NCTD,11541,301
10,NCTD_11548,NCTD,11548,301
11,NCTD_11875,NCTD,11875,301
12,NCTD_11876,NCTD,11876,301
13,NCTD_11877,NCTD,11877,301
14,NCTD_11882,NCTD,11882,301
15,NCTD_11885,NCTD,11885,301
16,NCTD_11923,NCTD,11923,301
17,NCTD_12310,NCTD,12310,301
18,NCTD_12311,NCTD,12311,301
19,NCTD_12316,NCTD,12316,301
20,NCTD_12320,NCTD,12320,301
21,NCTD_12631,NCTD,12631,301
22,NCTD_12634,NCTD,12634,301
23,NCTD_12639,NCTD,12639,301
24,NCTD_13024,NCTD,13024,301
25,NCTD_13058,NCTD,13058,301
26,NCTD_13141,NCTD,13141,301
27,NCTD_13171,NCTD,13171,301
28,NCTD_20001,NCTD,20001,359
29,NCTD_20004,NCTD,20004,395
30,NCTD_20006,NCTD,20006,392
31,NCTD_20006,NCTD,20006,395
32,NCTD_20007,NCTD,20007,392
33,NCTD_20018,NCTD,20018,313
34,NCTD_20020,NCTD,20020,313
35,NCTD_20024,NCTD,20024,392
36,NCTD_20025,NCTD,20025,318
37,NCTD_20026,NCTD,20026,392
38,NCTD_20027,NCTD,20027,315
39,NCTD_20027,NCTD,20027,325
40,NCTD_20030,NCTD,20030,315
41,NCTD_20030,NCTD,20030,325
42,NCTD_20032,NCTD,20032,318
43,NCTD_20038,NCTD,20038,309
44,NCTD_20038,NCTD,20038,318
45,NCTD_20039,NCTD,20039,303
46,NCTD_20039,NCTD,20039,311
47,NCTD_20041,NCTD,20041,313
48,NCTD_20045,NCTD,20045,303
49,NCTD_20047,NCTD,20047,325
50,NCTD_20049,NCTD,20049,392
51,NCTD_20051,NCTD,20051,623
52,NCTD_20054,NCTD,20054,623
53,NCTD_20059,NCTD,20059,303
54,NCTD_20061,NCTD,20061,302
55,NCTD_20061,NCTD,20061,315
56,NCTD_20061,NCTD,20061,325
57,NCTD_20063,NCTD,20063,304
58,NCTD_20063,NCTD,20063,309
59,NCTD_20066,NCTD,20066,304
60,NCTD_20066,NCTD,20066,604
61,NCTD_20067,NCTD,20067,323
62,NCTD_20067,NCTD,20067,623
63,NCTD_20068,NCTD,20068,323
64,NCTD_20068,NCTD,20068,623
65,NCTD_20069,NCTD,20069,304
66,NCTD_20069,NCTD,20069,604
67,NCTD_20070,NCTD,20070,323
68,NCTD_20070,NCTD,20070,623
69,NCTD_20071,NCTD,20071,309
70,NCTD_20075,NCTD,20075,302
71,NCTD_20077,NCTD,20077,309
72,NCTD_20081,NCTD,20081,308
73,NCTD_20085,NCTD,20085,334
74,NCTD_20088,NCTD,20088,318
75,NCTD_20090,NCTD,20090,306
76,NCTD_20090,NCTD,20090,318
77,NCTD_20092,NCTD,20092,334
78,NCTD_20092,NCTD,20092,634
79,NCTD_20094,NCTD,20094,306
80,NCTD_20095,NCTD,20095,318
81,NCTD_20096,NCTD,20096,318
82,NCTD_20097,NCTD,20097,332
83,NCTD_20105,NCTD,20105,305
84,NCTD_20106,NCTD,20106,305
85,NCTD_20109,NCTD,20109,359
86,NCTD_20110,NCTD,20110,359
87,NCTD_20111,NCTD,20111,305
88,NCTD_20113,NCTD,20113,358
89,NCTD_20115,NCTD,20115,308
90,NCTD_20115,NCTD,20115,353
91,NCTD_20115,NCTD,20115,608
92,NCTD_20116,NCTD,20116,356
93,NCTD_20116,NCTD,20116,359
94,NCTD_20121,NCTD,20121,354
95,NCTD_20122,NCTD,20122,352
96,NCTD_20122,NCTD,20122,652
97,NCTD_20123,NCTD,20123,352
98,NCTD_20123,NCTD,20123,652
99,NCTD_20127,NCTD,20127,350
100,NCTD_20129,NCTD,20129,371
101,NCTD_20130,NCTD,20130,354
102,NCTD_20130,NCTD,20130,355
103,NCTD_20130,NCTD,20130,388
104,NCTD_20130,NCTD,20130,652
105,NCTD_20131,NCTD,20131,371
106,NCTD_20133,NCTD,20133,354
107,NCTD_20133,NCTD,20133,355
108,NCTD_20133,NCTD,20133,388
109,NCTD_20133,NCTD,20133,652
110,NCTD_20134,NCTD,20134,651
111,NCTD_20135,NCTD,20135,355
112,NCTD_20135,NCTD,20135,388
113,NCTD_20136,NCTD,20136,388
114,NCTD_20137,NCTD,20137,388
115,NCTD_20138,NCTD,20138,388
116,NCTD_20139,NCTD,20139,371
117,NCTD_20140,NCTD,20140,388
118,NCTD_20141,NCTD,20141,388
119,NCTD_20142,NCTD,20142,371
120,NCTD_20155,NCTD,20155,303
121,NCTD_20157,NCTD,20157,313
122,NCTD_20160,NCTD,20160,318
123,NCTD_20161,NCTD,20161,303
124,NCTD_20162,NCTD,20162,318
125,NCTD_20164,NCTD,20164,303
126,NCTD_20164,NCTD,20164,313
127,NCTD_20166,NCTD,20166,303
128,NCTD_20166,NCTD,20166,313
129,NCTD_20167,NCTD,20167,318
130,NCTD_20169,NCTD,20169,302
131,NCTD_20170,NCTD,20170,318
132,NCTD_20171,NCTD,20171,303
133,NCTD_20176,NCTD,20176,303
134,NCTD_20177,NCTD,20177,392
135,NCTD_20178,NCTD,20178,315
136,NCTD_20180,NCTD,20180,303
137,NCTD_20181,NCTD,20181,392
138,NCTD_20182,NCTD,20182,325
139,NCTD_20183,NCTD,20183,313
140,NCTD_20184,NCTD,20184,313
141,NCTD_20185,NCTD,20185,303
142,NCTD_20186,NCTD,20186,318
143,NCTD_20189,NCTD,20189,315
144,NCTD_20189,NCTD,20189,325
145,NCTD_20190,NCTD,20190,302
146,NCTD_20190,NCTD,20190,309
147,NCTD_20190,NCTD,20190,623
148,NCTD_20191,NCTD,20191,313
149,NCTD_20192,NCTD,20192,315
150,NCTD_20193,NCTD,20193,325
151,NCTD_20194,NCTD,20194,318
152,NCTD_20195,NCTD,20195,315
153,NCTD_20195,NCTD,20195,325
154,NCTD_20196,NCTD,20196,313
155,NCTD_20197,NCTD,20197,303
156,NCTD_20197,NCTD,20197,309
157,NCTD_20199,NCTD,20199,302
158,NCTD_20199,NCTD,20199,315
159,NCTD_20199,NCTD,20199,325
160,NCTD_20200,NCTD,20200,313
161,NCTD_20201,NCTD,20201,623
162,NCTD_20202,NCTD,20202,302
163,NCTD_20202,NCTD,20202,315
164,NCTD_20202,NCTD,20202,325
165,NCTD_20203,NCTD,20203,392
166,NCTD_20204,NCTD,20204,313
167,NCTD_20206,NCTD,20206,302
168,NCTD_20206,NCTD,20206,315
169,NCTD_20206,NCTD,20206,325
170,NCTD_20207,NCTD,20207,392
171,NCTD_20210,NCTD,20210,303
172,NCTD_20211,NCTD,20211,309
173,NCTD_20212,NCTD,20212,311
174,NCTD_20212,NCTD,20212,318
175,NCTD_20213,NCTD,20213,392
176,NCTD_20216,NCTD,20216,392
177,NCTD_20217,NCTD,20217,392
178,NCTD_20218,NCTD,20218,303
179,NCTD_20219,NCTD,20219,392
180,NCTD_20220,NCTD,20220,309
181,NCTD_20222,NCTD,20222,623
182,NCTD_20226,NCTD,20226,302
183,NCTD_20226,NCTD,20226,315
184,NCTD_20226,NCTD,20226,325
185,NCTD_20227,NCTD,20227,323
186,NCTD_20227,NCTD,20227,623
187,NCTD_20228,NCTD,20228,302
188,NCTD_20229,NCTD,20229,315
189,NCTD_20229,NCTD,20229,318
190,NCTD_20229,NCTD,20229,323
191,NCTD_20229,NCTD,20229,325
192,NCTD_20229,NCTD,20229,623
193,NCTD_20230,NCTD,20230,318
194,NCTD_20232,NCTD,20232,309
195,NCTD_20233,NCTD,20233,302
196,NCTD_20236,NCTD,20236,445
197,NCTD_20238,NCTD,20238,302
198,NCTD_20240,NCTD,20240,318
199,NCTD_20242,NCTD,20242,308
200,NCTD_20244,NCTD,20244,318
201,NCTD_20245,NCTD,20245,303
202,NCTD_20248,NCTD,20248,309
203,NCTD_20251,NCTD,20251,308
204,NCTD_20252,NCTD,20252,318
205,NCTD_20253,NCTD,20253,302
206,NCTD_20254,NCTD,20254,303
207,NCTD_20255,NCTD,20255,302
208,NCTD_20258,NCTD,20258,604
209,NCTD_20262,NCTD,20262,302
210,NCTD_20267,NCTD,20267,604
211,NCTD_20268,NCTD,20268,306
212,NCTD_20271,NCTD,20271,604
213,NCTD_20273,NCTD,20273,332
214,NCTD_20280,NCTD,20280,305
215,NCTD_20280,NCTD,20280,634
216,NCTD_20281,NCTD,20281,604
217,NCTD_20285,NCTD,20285,306
218,NCTD_20285,NCTD,20285,318
219,NCTD_20285,NCTD,20285,334
220,NCTD_20285,NCTD,20285,634
221,NCTD_20287,NCTD,20287,305
222,NCTD_20287,NCTD,20287,634
223,NCTD_20288,NCTD,20288,604
224,NCTD_20289,NCTD,20289,318
225,NCTD_20291,NCTD,20291,306
226,NCTD_20291,NCTD,20291,318
227,NCTD_20291,NCTD,20291,334
228,NCTD_20291,NCTD,20291,634
229,NCTD_20292,NCTD,20292,604
230,NCTD_20295,NCTD,20295,334
231,NCTD_20295,NCTD,20295,634
232,NCTD_20298,NCTD,20298,308
233,NCTD_20299,NCTD,20299,332
234,NCTD_20300,NCTD,20300,332
235,NCTD_20302,NCTD,20302,332
236,NCTD_20305,NCTD,20305,305
237,NCTD_20306,NCTD,20306,308
238,NCTD_20307,NCTD,20307,305
239,NCTD_20309,NCTD,20309,305
240,NCTD_20311,NCTD,20311,308
241,NCTD_20312,NCTD,20312,305
242,NCTD_20314,NCTD,20314,304
243,NCTD_20314,NCTD,20314,305
244,NCTD_20314,NCTD,20314,604
245,NCTD_20315,NCTD,20315,304
246,NCTD_20315,NCTD,20315,305
247,NCTD_20315,NCTD,20315,604
248,NCTD_20316,NCTD,20316,308
249,NCTD_20318,NCTD,20318,308
250,NCTD_20321,NCTD,20321,305
251,NCTD_20322,NCTD,20322,305
252,NCTD_20323,NCTD,20323,305
253,NCTD_20324,NCTD,20324,305
254,NCTD_20328,NCTD,20328,359
255,NCTD_20329,NCTD,20329,305
256,NCTD_20331,NCTD,20331,359
257,NCTD_20332,NCTD,20332,358
258,NCTD_20333,NCTD,20333,305
259,NCTD_20336,NCTD,20336,358
260,NCTD_20337,NCTD,20337,359
261,NCTD_20338,NCTD,20338,359
262,NCTD_20339,NCTD,20339,308
263,NCTD_20339,NCTD,20339,353
264,NCTD_20339,NCTD,20339,608
265,NCTD_20340,NCTD,20340,305
266,NCTD_20343,NCTD,20343,358
267,NCTD_20344,NCTD,20344,359
268,NCTD_20345,NCTD,20345,356
269,NCTD_20346,NCTD,20346,356
270,NCTD_20348,NCTD,20348,359
271,NCTD_20349,NCTD,20349,359
272,NCTD_20353,NCTD,20353,351
273,NCTD_20353,NCTD,20353,355
274,NCTD_20353,NCTD,20353,371
275,NCTD_20353,NCTD,20353,388
276,NCTD_20353,NCTD,20353,651
277,NCTD_20355,NCTD,20355,352
278,NCTD_20355,NCTD,20355,652
279,NCTD_20357,NCTD,20357,351
280,NCTD_20357,NCTD,20357,355
281,NCTD_20357,NCTD,20357,371
282,NCTD_20357,NCTD,20357,388
283,NCTD_20357,NCTD,20357,651
284,NCTD_20360,NCTD,20360,354
285,NCTD_20361,NCTD,20361,352
286,NCTD_20361,NCTD,20361,652
287,NCTD_20365,NCTD,20365,351
288,NCTD_20365,NCTD,20365,651
289,NCTD_20367,NCTD,20367,354
290,NCTD_20368,NCTD,20368,351
291,NCTD_20368,NCTD,20368,651
292,NCTD_20372,NCTD,20372,355
293,NCTD_20372,NCTD,20372,388
294,NCTD_20375,NCTD,20375,351
295,NCTD_20375,NCTD,20375,651
296,NCTD_20376,NCTD,20376,351
297,NCTD_20376,NCTD,20376,651
298,NCTD_20377,NCTD,20377,351
299,NCTD_20377,NCTD,20377,651
300,NCTD_20378,NCTD,20378,351
301,NCTD_20378,NCTD,20378,651
302,NCTD_20379,NCTD,20379,351
303,NCTD_20379,NCTD,20379,651
304,NCTD_20380,NCTD,20380,354
305,NCTD_20380,NCTD,20380,355
306,NCTD_20380,NCTD,20380,388
307,NCTD_20380,NCTD,20380,652
308,NCTD_20383,NCTD,20383,388
309,NCTD_20384,NCTD,20384,388
310,NCTD_20385,NCTD,20385,388
311,NCTD_20386,NCTD,20386,388
312,NCTD_20387,NCTD,20387,371
313,NCTD_20388,NCTD,20388,388
314,NCTD_20389,NCTD,20389,388
315,NCTD_20393,NCTD,20393,392
316,NCTD_20399,NCTD,20399,313
317,NCTD_20402,NCTD,20402,303
318,NCTD_20404,NCTD,20404,313
319,NCTD_20406,NCTD,20406,318
320,NCTD_20409,NCTD,20409,303
321,NCTD_20413,NCTD,20413,392
322,NCTD_20416,NCTD,20416,313
323,NCTD_20417,NCTD,20417,392
324,NCTD_20419,NCTD,20419,315
325,NCTD_20421,NCTD,20421,325
326,NCTD_20422,NCTD,20422,315
327,NCTD_20425,NCTD,20425,315
328,NCTD_20425,NCTD,20425,325
329,NCTD_20426,NCTD,20426,325
330,NCTD_20431,NCTD,20431,303
331,NCTD_20432,NCTD,20432,392
332,NCTD_20433,NCTD,20433,315
333,NCTD_20433,NCTD,20433,325
334,NCTD_20434,NCTD,20434,623
335,NCTD_20441,NCTD,20441,309
336,NCTD_20448,NCTD,20448,302
337,NCTD_20448,NCTD,20448,315
338,NCTD_20448,NCTD,20448,325
339,NCTD_20451,NCTD,20451,302
340,NCTD_20452,NCTD,20452,304
341,NCTD_20452,NCTD,20452,604
342,NCTD_20453,NCTD,20453,309
343,NCTD_20453,NCTD,20453,609
344,NCTD_20454,NCTD,20454,323
345,NCTD_20454,NCTD,20454,623
346,NCTD_20455,NCTD,20455,302
347,NCTD_20459,NCTD,20459,302
348,NCTD_20463,NCTD,20463,302
349,NCTD_20466,NCTD,20466,309
350,NCTD_20466,NCTD,20466,609
351,NCTD_20478,NCTD,20478,306
352,NCTD_20478,NCTD,20478,318
353,NCTD_20480,NCTD,20480,604
354,NCTD_20482,NCTD,20482,604
355,NCTD_20485,NCTD,20485,305
356,NCTD_20485,NCTD,20485,634
357,NCTD_20486,NCTD,20486,318
358,NCTD_20487,NCTD,20487,334
359,NCTD_20488,NCTD,20488,634
360,NCTD_20490,NCTD,20490,305
361,NCTD_20491,NCTD,20491,334
362,NCTD_20493,NCTD,20493,334
363,NCTD_20494,NCTD,20494,305
364,NCTD_20495,NCTD,20495,305
365,NCTD_20496,NCTD,20496,305
366,NCTD_20497,NCTD,20497,304
367,NCTD_20497,NCTD,20497,305
368,NCTD_20497,NCTD,20497,604
369,NCTD_20498,NCTD,20498,305
370,NCTD_20499,NCTD,20499,358
371,NCTD_20500,NCTD,20500,358
372,NCTD_20506,NCTD,20506,358
373,NCTD_20513,NCTD,20513,352
374,NCTD_20513,NCTD,20513,652
375,NCTD_20514,NCTD,20514,352
376,NCTD_20514,NCTD,20514,652
377,NCTD_20515,NCTD,20515,351
378,NCTD_20515,NCTD,20515,651
379,NCTD_20516,NCTD,20516,352
380,NCTD_20516,NCTD,20516,652
381,NCTD_20517,NCTD,20517,351
382,NCTD_20517,NCTD,20517,651
383,NCTD_20518,NCTD,20518,352
384,NCTD_20518,NCTD,20518,652
385,NCTD_20519,NCTD,20519,351
386,NCTD_20519,NCTD,20519,651
387,NCTD_20521,NCTD,20521,351
388,NCTD_20521,NCTD,20521,651
389,NCTD_20522,NCTD,20522,354
390,NCTD_20522,NCTD,20522,357
391,NCTD_20522,NCTD,20522,388
392,NCTD_20522,NCTD,20522,651
393,NCTD_20523,NCTD,20523,371
394,NCTD_20524,NCTD,20524,354
395,NCTD_20524,NCTD,20524,652
396,NCTD_20525,NCTD,20525,388
397,NCTD_20526,NCTD,20526,371
398,NCTD_20532,NCTD,20532,392
399,NCTD_20532,NCTD,20532,395
400,NCTD_20538,NCTD,20538,303
401,NCTD_20538,NCTD,20538,313
402,NCTD_20540,NCTD,20540,303
403,NCTD_20540,NCTD,20540,313
404,NCTD_20545,NCTD,20545,313
405,NCTD_20546,NCTD,20546,318
406,NCTD_20547,NCTD,20547,303
407,NCTD_20550,NCTD,20550,303
408,NCTD_20550,NCTD,20550,313
409,NCTD_20551,NCTD,20551,318
410,NCTD_20553,NCTD,20553,318
411,NCTD_20556,NCTD,20556,318
412,NCTD_20557,NCTD,20557,302
413,NCTD_20559,NCTD,20559,318
414,NCTD_20561,NCTD,20561,315
415,NCTD_20561,NCTD,20561,325
416,NCTD_20562,NCTD,20562,303
417,NCTD_20563,NCTD,20563,318
418,NCTD_20564,NCTD,20564,313
419,NCTD_20565,NCTD,20565,313
420,NCTD_20567,NCTD,20567,303
421,NCTD_20568,NCTD,20568,318
422,NCTD_20569,NCTD,20569,313
423,NCTD_20570,NCTD,20570,303
424,NCTD_20575,NCTD,20575,318
425,NCTD_20579,NCTD,20579,318
426,NCTD_20580,NCTD,20580,313
427,NCTD_20581,NCTD,20581,315
428,NCTD_20582,NCTD,20582,303
429,NCTD_20582,NCTD,20582,311
430,NCTD_20583,NCTD,20583,313
431,NCTD_20585,NCTD,20585,315
432,NCTD_20585,NCTD,20585,325
433,NCTD_20587,NCTD,20587,303
434,NCTD_20587,NCTD,20587,311
435,NCTD_20588,NCTD,20588,313
436,NCTD_20589,NCTD,20589,325
437,NCTD_20590,NCTD,20590,309
438,NCTD_20590,NCTD,20590,311
439,NCTD_20591,NCTD,20591,309
440,NCTD_20591,NCTD,20591,311
441,NCTD_20592,NCTD,20592,315
442,NCTD_20592,NCTD,20592,325
443,NCTD_20593,NCTD,20593,313
444,NCTD_20595,NCTD,20595,392
445,NCTD_20596,NCTD,20596,302
446,NCTD_20596,NCTD,20596,315
447,NCTD_20596,NCTD,20596,325
448,NCTD_20597,NCTD,20597,313
449,NCTD_20599,NCTD,20599,623
450,NCTD_20601,NCTD,20601,313
451,NCTD_20602,NCTD,20602,302
452,NCTD_20602,NCTD,20602,315
453,NCTD_20602,NCTD,20602,325
454,NCTD_20603,NCTD,20603,303
455,NCTD_20605,NCTD,20605,303
456,NCTD_20608,NCTD,20608,303
457,NCTD_20613,NCTD,20613,623
458,NCTD_20618,NCTD,20618,623
459,NCTD_20622,NCTD,20622,302
460,NCTD_20622,NCTD,20622,315
461,NCTD_20622,NCTD,20622,325
462,NCTD_20625,NCTD,20625,302
463,NCTD_20628,NCTD,20628,304
464,NCTD_20628,NCTD,20628,309
465,NCTD_20628,NCTD,20628,609
466,NCTD_20631,NCTD,20631,302
467,NCTD_20631,NCTD,20631,315
468,NCTD_20631,NCTD,20631,325
469,NCTD_20632,NCTD,20632,323
470,NCTD_20632,NCTD,20632,623
471,NCTD_20633,NCTD,20633,315
472,NCTD_20633,NCTD,20633,318
473,NCTD_20633,NCTD,20633,323
474,NCTD_20633,NCTD,20633,325
475,NCTD_20633,NCTD,20633,623
476,NCTD_20634,NCTD,20634,323
477,NCTD_20634,NCTD,20634,623
478,NCTD_20635,NCTD,20635,318
479,NCTD_20636,NCTD,20636,309
480,NCTD_20636,NCTD,20636,609
481,NCTD_20637,NCTD,20637,302
482,NCTD_20639,NCTD,20639,309
483,NCTD_20639,NCTD,20639,609
484,NCTD_20642,NCTD,20642,318
485,NCTD_20643,NCTD,20643,303
486,NCTD_20644,NCTD,20644,318
487,NCTD_20647,NCTD,20647,308
488,NCTD_20649,NCTD,20649,302
489,NCTD_20650,NCTD,20650,318
490,NCTD_20651,NCTD,20651,303
491,NCTD_20654,NCTD,20654,308
492,NCTD_20658,NCTD,20658,445
493,NCTD_20660,NCTD,20660,302
494,NCTD_20662,NCTD,20662,303
495,NCTD_20664,NCTD,20664,308
496,NCTD_20665,NCTD,20665,302
497,NCTD_20669,NCTD,20669,604
498,NCTD_20672,NCTD,20672,302
499,NCTD_20679,NCTD,20679,302
500,NCTD_20681,NCTD,20681,604
501,NCTD_20686,NCTD,20686,302
502,NCTD_20686,NCTD,20686,332
503,NCTD_20686,NCTD,20686,632
504,NCTD_20687,NCTD,20687,604
505,NCTD_20690,NCTD,20690,318
506,NCTD_20691,NCTD,20691,604
507,NCTD_20693,NCTD,20693,305
508,NCTD_20693,NCTD,20693,634
509,NCTD_20694,NCTD,20694,306
510,NCTD_20694,NCTD,20694,318
511,NCTD_20695,NCTD,20695,306
512,NCTD_20695,NCTD,20695,318
513,NCTD_20696,NCTD,20696,306
514,NCTD_20696,NCTD,20696,318
515,NCTD_20697,NCTD,20697,604
516,NCTD_20699,NCTD,20699,306
517,NCTD_20699,NCTD,20699,318
518,NCTD_20699,NCTD,20699,634
519,NCTD_20700,NCTD,20700,305
520,NCTD_20700,NCTD,20700,634
521,NCTD_20701,NCTD,20701,334
522,NCTD_20702,NCTD,20702,308
523,NCTD_20706,NCTD,20706,306
524,NCTD_20707,NCTD,20707,318
525,NCTD_20709,NCTD,20709,305
526,NCTD_20710,NCTD,20710,332
527,NCTD_20711,NCTD,20711,332
528,NCTD_20712,NCTD,20712,334
529,NCTD_20713,NCTD,20713,308
530,NCTD_20714,NCTD,20714,332
531,NCTD_20715,NCTD,20715,308
532,NCTD_20716,NCTD,20716,305
533,NCTD_20716,NCTD,20716,332
534,NCTD_20717,NCTD,20717,305
535,NCTD_20718,NCTD,20718,308
536,NCTD_20719,NCTD,20719,305
537,NCTD_20721,NCTD,20721,304
