,post_id,num_beds,num_baths,price,sqft,houseType,rentPeriod,parking,laundry,pets,smoking,air conditioning,wheelchair accessible,EV charging,furnished,lat,lon,tfidf_words
0,7442193829,3,2,3587.0,1050,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['onsite', 'unitsindoor', 'accessprofessional', 'seatingpet', 'dishwasherlandscaped']"
1,7443774817,1,1,2900.0,-1,apartment,,carport,w/d in unit,,,,,,,32.86082404115404,-117.22933712338651,"['blue', 'per', '3vd4ntbq', 'fansvaulted', 'stationluxury']"
2,7443784985,1,1,2550.0,900,apartment,,off-street parking,laundry in bldg,cats are OK - purrr,no smoking,,,,,32.749209,-117.247924,"['cape', 'elan', 'palms', 'pier', 'beach']"
3,7443785374,2,2,2875.0,800,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.743893,-117.253123,"['coco', 'palms', 'elan', 'elancocopalms', 'pier']"
4,7443787962,0,1,1745.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.738913,-117.227883,"['loma', 'highlands', 'elan', 'round', 'needs']"
5,7443788731,1,1,2220.0,600,apartment,,off-street parking,laundry in bldg,cats are OK - purrr,no smoking,,,,,32.743989,-117.249066,"['elan', 'palms', 'pacific', 'pier', 'beach']"
6,7443789822,1,1,2475.0,700,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.74183622653763,-117.25114726595292,"['ocean', 'lofts', 'elan', 'pier', 'beach']"
7,7443829697,1,1,2345.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.74455,-117.252093,"['elan', 'plaza', 'pier', 'beach', 'avenue']"
8,7443831933,1,1,2345.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.74455,-117.252093,"['elan', 'plaza', 'pier', 'beach', 'avenue']"
9,7443832287,1,1,2345.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.74455,-117.252093,"['plaza', 'elan', 'pier', 'beach', 'avenue']"
10,7444248934,2,2,2395.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,,,"['rentmesavillage', 'utm_knock', 'village', 'cl', 'site']"
11,7444373963,1,1,2100.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,air conditioning,,,,,,"['mesa', 'village', '00', 'rentmesavillage', 'utm_knock']"
12,7444489059,1,1,2875.0,-1,apartment,,carport,w/d in unit,,,,,,,32.86082404115404,-117.22933712338651,"['per', 'blue', 'tsmxihw3', 'poolsmoke', 'fansstainless']"
13,7445207320,1,1,2399.0,650,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['moving', 'outdoor', '3abeoywu', 'countertopscommunity', 'pointe']"
