zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,scrape_date,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate
32.841976--117.27955,32.841976--117.27955,1001635123.0,https://photos.zillowstatic.com/fp/025e0ccd6d52b666e3ea755697884942-p_e.jpg,True,FOR_RENT,Ocean House on Prospect Apartment Homes,/b/ocean-house-on-prospect-apartment-homes-la-jolla-ca-5Xkm98/,"{'latitude': 32.841976, 'longitude': -117.27955}","[{'price': '$4,990+', 'beds': '1'}, {'price': '$6,616+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Ocean House on Prospect Apartment Homes,True,"400 Prospect St, La Jolla, CA",400 Prospect St   # 208,CA,La Jolla,92037,1b6vkhb2936ea,True,True,True,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
32.86568--117.235725,32.86568--117.235725,1001554478.0,https://photos.zillowstatic.com/fp/c16331bf1bedb76f67c612d72e8a00a0-p_e.jpg,True,FOR_RENT,Solazzo Apartments Homes,/b/solazzo-apartments-homes-la-jolla-ca-5Xk5YK/,"{'latitude': 32.86568, 'longitude': -117.235725}","[{'price': '$3,150+', 'beds': '1'}, {'price': '$3,980+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Solazzo Apartments Homes,True,"8506 Villa La Jolla Dr, La Jolla, CA",8506 Villa La Jolla Dr   # 346,CA,La Jolla,92037,12e0rmdse6tpe,True,True,True,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
2066751394,2066751394,,https://photos.zillowstatic.com/fp/69042eebea3ea6c434e1433147381fc2-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/7623-Eads-Ave-41DDE7B81-La-Jolla-CA-92037/2066751394_zpid/,"{'latitude': 32.842457, 'longitude': -117.27549}",,"{'type': 'TIME_ON_INFO', 'text': None, 'data': {'isFresh': False}}",,,,"Casa Linda, 7623 Eads Ave, La Jolla, CA 92037",7623 Eads Ave #41DDE7B81,CA,La Jolla,92037,27zxa46tjsmpe,,False,True,False,True,False,2022-07-31,$,"$1,950+/mo",1950.0,False,1.0,1.0,400.0,False,"{'homeInfo': {'zpid': 2066751394, 'streetAddress': '7623 Eads Ave #41DDE7B81', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.842457, 'longitude': -117.27549, 'price': 1950.0, 'datePriceChanged': 1645516800000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 400.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'priceReduction': '', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1950.0, 'priceChange': -50, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 41dde7b81'}}",False,False,ForRent,For Rent,,False,False,False,False,
32.861904--117.23384,32.861904--117.23384,1003965520.0,https://photos.zillowstatic.com/fp/9b30512b4d9e5a301998022781f965ac-p_e.jpg,True,FOR_RENT,For Rent,/b/villa-la-jolla-condominiums-la-jolla-ca-5Y9YkG/,"{'latitude': 32.861904, 'longitude': -117.23384}","[{'price': '$2,075+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,True,"3172 Via Alicante, La Jolla, CA",3172 Via Alicante Unit C,CA,La Jolla,92037,2gtxjpnkwb1x7,True,False,True,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
16840118,16840118,,https://photos.zillowstatic.com/fp/0fe6bbfb5d9b494850f312dbaa3f4b1a-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/8058-Gilman-Ct-La-Jolla-CA-92037/16840118_zpid/,"{'latitude': 32.851982, 'longitude': -117.237274}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"8058 Gilman Ct, La Jolla, CA 92037",8058 Gilman Ct,CA,La Jolla,92037,5gw27faj5knx9,,False,True,False,True,False,2022-07-31,$,"$9,850/mo",9850.0,False,5.0,4.0,3397.0,False,"{'homeInfo': {'zpid': 16840118, 'streetAddress': '8058 Gilman Ct', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.851982, 'longitude': -117.237274, 'price': 9850.0, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 3397.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 2303300, 'rentZestimate': 7323, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 9850.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 1260361.0, 'lotAreaValue': 2.689439853076217, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,2303300.0,False,False,False,False,2022-07-24 00:00:00
81964065,81964065,,https://photos.zillowstatic.com/fp/9dada5d4c27e6a99b7e61156590cca5a-p_e.jpg,True,FOR_RENT,Townhouse for rent,https://www.zillow.com/homedetails/376-Playa-Del-Norte-La-Jolla-CA-92037/81964065_zpid/,"{'latitude': 32.83004, 'longitude': -117.27778}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"376 Playa Del Norte, La Jolla, CA 92037",376 Playa Del Norte,CA,La Jolla,92037,vv8yqufearxq,,False,False,False,True,False,2022-07-31,$,"$6,175/mo",6175.0,False,3.0,2.5,1469.0,False,"{'homeInfo': {'zpid': 81964065, 'streetAddress': '376 Playa Del Norte', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.83004, 'longitude': -117.27778, 'price': 6175.0, 'bathrooms': 2.5, 'bedrooms': 3.0, 'livingArea': 1469.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1620700, 'rentZestimate': 6175, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 6175.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 961494.0, 'lotAreaValue': 5749.0, 'lotAreaUnit': 'sqft'}}",False,False,ForRent,For Rent,1620700.0,False,False,False,False,2022-09-15 00:00:00
16835701,16835701,,https://photos.zillowstatic.com/fp/c644694ea01639fd41f0c07d09b1de33-p_e.jpg,True,FOR_RENT,Townhouse for rent,https://www.zillow.com/homedetails/8763-Gilman-Dr-UNIT-C-La-Jolla-CA-92037/16835701_zpid/,"{'latitude': 32.867527, 'longitude': -117.23662}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"8763 Gilman Dr UNIT C, La Jolla, CA 92037",8763 Gilman Dr UNIT C,CA,La Jolla,92037,1un9dy2yn0hx3,,False,True,False,True,False,2022-07-31,$,"$3,195/mo",3195.0,False,2.0,1.5,1097.0,False,"{'homeInfo': {'zpid': 16835701, 'streetAddress': '8763 Gilman Dr UNIT C', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.867527, 'longitude': -117.23662, 'price': 3195.0, 'bathrooms': 1.5, 'bedrooms': 2.0, 'livingArea': 1097.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 787100, 'rentZestimate': 2999, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3195.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 398535.0, 'unit': 'Unit C', 'lotAreaValue': 4.539256198347108, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,787100.0,False,False,False,False,2022-07-28 00:00:00
32.851173--117.25048,32.851173--117.25048,2079473340.0,https://photos.zillowstatic.com/fp/94909df2ab5dac920497e07092f853f7-p_e.jpg,True,FOR_RENT,For Rent,/b/2410-torrey-pines-rd-la-jolla-ca-657QRn/,"{'latitude': 32.851173, 'longitude': -117.25048}","[{'price': '$6,200+', 'beds': '2'}, {'price': '$6,300+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': '4 days ago'}",,,True,"2406 Torrey Pines Rd, La Jolla, CA",2406 Torrey Pines Rd   # 148-1,CA,La Jolla,92037,3ng0d10mfs51n,True,False,True,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
32.847897--117.2762,32.847897--117.2762,1001634282.0,https://photos.zillowstatic.com/fp/58489ac99479c604088579e0b971369c-p_e.jpg,True,FOR_RENT,For Rent,/b/939-coast-management-assn-la-jolla-ca-5Xkkny/,"{'latitude': 32.847897, 'longitude': -117.2762}","[{'price': '$5,500+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,,True,"939 Coast Blvd, La Jolla, CA",939 Coast Blvd Unit 14C,CA,La Jolla,92037,516q78jn95g85,False,True,False,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
16858067,16858067,,https://photos.zillowstatic.com/fp/9e54dcddf09615bcf0a154200bbb6adc-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/6057-Meadowpointe-Row-La-Jolla-CA-92037/16858067_zpid/,"{'latitude': 32.830765, 'longitude': -117.24}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"6057 Meadowpointe Row, La Jolla, CA 92037",6057 Meadowpointe Row,CA,La Jolla,92037,46uy0y549npeq,,False,True,False,True,False,2022-07-31,$,"$7,000/mo",7000.0,False,3.0,2.5,2786.0,False,"{'homeInfo': {'zpid': 16858067, 'streetAddress': '6057 Meadowpointe Row', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.830765, 'longitude': -117.24, 'price': 7000.0, 'bathrooms': 2.5, 'bedrooms': 3.0, 'livingArea': 2786.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 2105900, 'rentZestimate': 7352, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 7000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 678188.0, 'lotAreaValue': 7473.0, 'lotAreaUnit': 'sqft'}}",False,False,ForRent,For Rent,2105900.0,False,False,False,False,2022-08-04 00:00:00
16836283,16836283,,https://photos.zillowstatic.com/fp/95a57d0552d970f9c1f2dcc98ea7d412-p_e.jpg,True,FOR_RENT,Townhouse for rent,https://www.zillow.com/homedetails/8639-Via-Mallorca-UNIT-F-La-Jolla-CA-92037/16836283_zpid/,"{'latitude': 32.862335, 'longitude': -117.23133}",,"{'type': 'TIME_ON_INFO', 'text': '8 days ago', 'data': {'isFresh': False}}",,,,"8639 Via Mallorca UNIT F, La Jolla, CA 92037",8639 Via Mallorca UNIT F,CA,La Jolla,92037,22cjt2r93d6mh,,False,False,False,True,False,2022-07-31,$,"$4,100/mo",4100.0,False,2.0,2.5,1680.0,False,"{'homeInfo': {'zpid': 16836283, 'streetAddress': '8639 Via Mallorca UNIT F', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.862335, 'longitude': -117.23133, 'price': 4100.0, 'bathrooms': 2.5, 'bedrooms': 2.0, 'livingArea': 1680.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1243800, 'rentZestimate': 4099, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 4100.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 374668.0, 'unit': 'Unit F', 'lotAreaValue': 1.3079660238751147, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,1243800.0,False,False,False,False,2022-08-20 00:00:00
52513901,52513901,,https://photos.zillowstatic.com/fp/47a482f49721788dd213b8789a68b8f2-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/7940-La-Jolla-Shores-Dr-La-Jolla-CA-92037/52513901_zpid/,"{'latitude': 32.851246, 'longitude': -117.25471}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"7940 La Jolla Shores Dr, La Jolla, CA 92037",7940 La Jolla Shores Dr,CA,La Jolla,92037,5492qyc6uufve,,False,True,False,True,False,2022-07-31,$,"$9,800/mo",9800.0,False,5.0,4.0,2685.0,False,"{'homeInfo': {'zpid': 52513901, 'streetAddress': '7940 La Jolla Shores Dr', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.851246, 'longitude': -117.25471, 'price': 9800.0, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 2685.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 3314500, 'rentZestimate': 9816, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 9800.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 1517164.0, 'lotAreaValue': 7235.0, 'lotAreaUnit': 'sqft'}}",False,False,ForRent,For Rent,3314500.0,False,False,False,False,2022-09-01 00:00:00
