"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"1","MTS_10001","10001","10001","Cabrillo National Monument","32.67445793","-117.24042573","MTS","1.0","M-Special_Loc","cabmon","","32.67445317427246","-117.24041382198114"
"2","MTS_10003","10003","10003","Pearl St & Draper Av","32.83957829","-117.27618677","MTS","1.0","N-E/B","","","32.83957351673011","-117.27617484271678"
"3","MTS_10004","10004","10004","Pearl St & Fay Av","32.84012848","-117.2738099","MTS","1.0","N-E/B","","","32.8401237138051","-117.27379796939671"
"4","MTS_10006","10006","10006","Torrey Pines Rd & Exchange Pl","32.8458467","-117.26867322","MTS","1.0","N-N/B","","","32.845841927361356","-117.2686612891574"
"5","MTS_10007","10007","10007","Torrey Pines Rd & Princess St","32.8488256","-117.26258543","MTS","0.0","N-E/B","","","32.84882083016506","-117.26257350402761"
"6","MTS_10011","10011","10011","Garnet Av & Everts St","32.79810093","-117.24825013","MTS","1.0","N-E/B","","","32.79809616057782","-117.24823820872717"
"7","MTS_10012","10012","10012","Grand Av & Fanuel St","32.79652904","-117.24583394","MTS","1.0","N-E/B","","","32.79652427088139","-117.24582201697245"
"8","MTS_10013","10013","10013","Garnet Av & Haines St","32.79929398","-117.24277358","MTS","1.0","N-E/B","","","32.79928921205476","-117.24276166204692"
"9","MTS_10015","10015","10015","Garnet Av & Ingraham St","32.79965017","-117.24120249","MTS","1.0","N-E/B","inggar","","32.79964540362068","-117.24119057199132"
"10","MTS_10016","10016","10016","Garnet Av & Jewell St","32.80012359","-117.23906319","MTS","1.0","N-E/B","","","32.80011881804388","-117.23905127143247"
"11","MTS_10020","10020","10020","Voltaire St & Mendocino St","32.74506671","-117.23574899","MTS","1.0","N-E/B","","","32.745061945007336","-117.23573707128583"
"12","MTS_10023","10023","10023","Garnet Av & Lamont St","32.80087716","-117.23556667","MTS","1.0","N-E/B","garlam","","32.800872396353206","-117.23555475154218"
"13","MTS_10024","10024","10024","Voltaire St & San Clemente St","32.74286905","-117.23353563","MTS","1.0","N-E/B","","","32.74286429301239","-117.23352371958083"
"14","MTS_10025","10025","10025","Garnet Av & Noyes St","32.8017129","-117.23174882","MTS","1.0","N-E/B","","","32.801708137030595","-117.23173690029274"
"15","MTS_10026","10026","10026","Chatsworth Bl & Tennyson St","32.73814733","-117.22970402","MTS","1.0","N-N/B","","","32.73814256669281","-117.22969210483316"
"16","MTS_10027","10027","10027","Voltaire St & Poinsettia Dr","32.74025595","-117.22929493","MTS","1.0","N-E/B","volpoi","","32.74025119104532","-117.22928301133064"
"17","MTS_10029","10029","10029","West Point Loma Bl & Adrian St","32.75266115","-117.22673314","MTS","1.0","N-E/B","","","32.75265638257528","-117.22672122952956"
"18","MTS_10031","10031","10031","Nimitz Bl & Rosecrans St","32.72894288","-117.2265353","MTS","0.0","M-Street-S/B","nimros","","32.728938125124124","-117.22652339259581"
"19","MTS_10032","10032","10032","Grand Av & Culver St","32.80091313","-117.22584945","MTS","1.0","N-E/B","","","32.800908361580895","-117.22583752819811"
"20","MTS_10033","10033","10033","West Point Loma Bl & Loma Riviera Dr","32.75340225","-117.22407745","MTS","1.0","M-Street-E/B","","","32.753397491952285","-117.224065533901"
"21","MTS_10034","10034","10034","Nobel Dr & Lebon Dr","32.86829317","-117.22518324","MTS","1.0","N-E/B","nobleb","","32.868288388871086","-117.2251713238135"
"22","MTS_10036","10036","10036","Garnet Av & Bond St","32.805504","-117.22121375","MTS","1.0","N-E/B","","","32.80549923506949","-117.2212018372858"
"23","MTS_10038","10038","10038","Sports Arena Bl & Midway Dr","32.75567407","-117.2210938","MTS","1.0","M-Street-S/B","","","32.7556693084509","-117.22108188417597"
"24","MTS_10040","10040","10040","Midway Dr & Duke St","32.75392997","-117.21814068","MTS","1.0","N-S/B","","","32.75392520969143","-117.21812876296778"
"25","MTS_10043","10043","10043","Midway Dr & Kemper St","32.75243625","-117.21584744","MTS","1.0","N-S/B","","","32.75243149137282","-117.2158355285169"
"26","MTS_10044","10044","10044","Grand Av & Mission Bay Dr","32.8022735","-117.21783906","MTS","1.0","N-E/B","","","32.80226872714993","-117.21782714798061"
"27","MTS_10045","10045","10045","Balboa Av & Moraga Av","32.80774389","-117.21069667","MTS","2.0","M-Street-E/B","","","32.80773911592564","-117.21068475262365"
"28","MTS_10048","10048","10048","Morena Bl & Frankfort St","32.77468641","-117.20621403","MTS","1.0","N-S/B","","","32.77468164186448","-117.20620212140048"
"29","MTS_10049","10049","10049","Governor Dr & Radcliffe Dr","32.85434508","-117.20610593","MTS","1.0","N-E/B","","","32.854340305333125","-117.20609401242761"
"30","MTS_10050","10050","10050","Morena Bl & Knoxville St","32.77332666","-117.20398373","MTS","1.0","N-S/B","","","32.7733218896156","-117.20397181604841"
"31","MTS_10051","10051","10051","Clairemont Dr & Merrimac Av","32.83307178","-117.20286671","MTS","1.0","M-Street-E/B","","","32.83306700341187","-117.20285479396176"
"32","MTS_10062","10062","10062","Linda Vista Rd & Colusa St","32.76890946","-117.19113779","MTS","1.0","N-E/B","","","32.76890469428144","-117.191125875623"
"33","MTS_10064","10064","10064","Taylor St & I-8 East (Ramp)","32.75925323","-117.19050441","MTS","2.0","N-E/B","","","32.75924846333477","-117.19049250687897"
"34","MTS_10073","10073","10073","Clairemont Mesa Bl & Longford St","32.83432122","-117.18285491","MTS","1.0","N-E/B","","","32.83431644591237","-117.18284300201144"
"35","MTS_10074","10074","10074","Miramar Rd & Miramar Mall","32.8768838","-117.18299026","MTS","1.0","N-E/B","mirmal","","32.87687902264871","-117.18297834219265"
"36","MTS_10075","10075","10075","N Harbor Dr & Laurel St (Coast Guard)","32.72778181","-117.18228648","MTS","1.0","M-Street-E/B","","","32.7277770499427","-117.18227457293595"
"37","MTS_10076","10076","10076","Lewis St & Stephens St","32.75171067","-117.17861058","MTS","0.0","N-E/B","lewste","","32.751705902402676","-117.17859867599786"
"38","MTS_10077","10077","10077","Clairemont Mesa Bl & Limerick Av","32.83427737","-117.17919188","MTS","1.0","N-E/B","","","32.83427259852448","-117.179179971157"
"39","MTS_10080","10080","10080","Lewis St & Ingalls St","32.7517283","-117.1751663","MTS","0.0","N-E/B","","","32.751723531535006","-117.17515439762496"
"40","MTS_10085","10085","10085","Miramar Rd & Milch Rd","32.87793669","-117.16865659","MTS","1.0","N-E/B","","","32.87793191355606","-117.16864467185353"
"41","MTS_10086","10086","10086","Broadway & State St","32.7155689","-117.1666847","MTS","1.0","N-E/B","amplza","","32.7155641404562","-117.16667279995008"
"42","MTS_10088","10088","10088","Washington St & Albatross St","32.74977421","-117.16631202","MTS","1.0","N-E/B","","","32.74976944536445","-117.1663001173882"
"43","MTS_10090","10090","10090","Broadway & Front St","32.71559826","-117.1649521","MTS","0.0","N-E/B","brofro","","32.71559349693231","-117.164940201022"
"44","MTS_10091","10091","10091","Clairemont Mesa Bl & Shawline St (Kaiser)","32.83281806","-117.16295728","MTS","1.0","N-W/B","clasha","","32.83281328068232","-117.16294537652126"
"45","MTS_10092","10092","10092","University Av & 3rd Av","32.74819693","-117.1629261","MTS","1.0","N-E/B","","","32.7481921602868","-117.16291419675538"
"46","MTS_10093","10093","10093","Genesee Av & Richland St","32.79116236","-117.1632153","MTS","1.0","N-E/B","","","32.79115758842658","-117.16320339797318"
"47","MTS_10094","10094","10094","Broadway & 3rd Av","32.71561383","-117.16210744","MTS","0.0","N-E/B","3rdbro","","32.71560907009407","-117.1620955395082"
"48","MTS_10095","10095","10095","Miramar Rd & Distribution Av","32.87896273","-117.16260879","MTS","1.0","N-E/B","","","32.87895794895477","-117.16259687533686"
"49","MTS_10097","10097","10097","Broadway & 5th Av","32.71566019","-117.16029698","MTS","0.0","N-E/B","5thbro","","32.715655427990356","-117.1602850849589"
"50","MTS_10098","10098","10098","University Av & 5th Av","32.74820876","-117.16058122","MTS","1.0","N-E/B","5thuni","","32.748203991415515","-117.16056931919103"
"51","MTS_10099","10099","10099","Broadway & 6th Av","32.71566351","-117.15947446","MTS","0.0","N-E/B","bro6th","","32.71565874755953","-117.1594625584956"
"52","MTS_10100","10100","10100","Camino De La Reina & Camino Del Arroyo","32.76674662","-117.15846313","MTS","1.0","N-E/B","","","32.76674185177644","-117.1584512314253"
"53","MTS_10105","10105","10105","Market St & 10th Av","32.71143588","-117.15579614","MTS","0.0","N-E/B","","","32.71143111955628","-117.15578424169144"
"54","MTS_10106","10106","10106","University Av & 10th Av","32.74831789","-117.15546302","MTS","1.0","N-E/B","","","32.74831312113039","-117.1554511171827"
"55","MTS_10107","10107","10107","Miramar Rd & Carroll Rd","32.88177728","-117.15625029","MTS","1.0","N-E/B","","","32.88177250121939","-117.15623837593591"
"56","MTS_10108","10108","10108","Market St & Park Bl","32.71146838","-117.15398888","MTS","1.0","N-E/B","marpar","marpar","32.711463620140506","-117.15397697873375"
"57","MTS_10109","10109","10109","Broadway & Park Bl","32.71570092","-117.15401278","MTS","1.0","N-E/B","citcol","citcol","32.7156961527146","-117.1540008801118"
"58","MTS_10110","10110","10110","Vista Hill Av & Meadowlark Dr","32.79485118","-117.15458775","MTS","1.0","N-E/B","","","32.794846405711716","-117.15457584625139"
"59","MTS_10111","10111","10111","University Av & Vermont St","32.74834756","-117.15366473","MTS","1.0","N-E/B","","","32.74834279638893","-117.15365282760592"
"60","MTS_10114","10114","10114","University Av & Richmond St","32.74836182","-117.15133939","MTS","1.0","N-E/B","","","32.74835705726408","-117.15132748605117"
"61","MTS_10115","10115","10115","Imperial Av & 16th St","32.70621434","-117.14970235","MTS","1.0","N-E/B","imp16","","32.70620957862863","-117.14969045662535"
"62","MTS_10116","10116","10116","Market St & 16th St","32.71142899","-117.14960278","MTS","1.0","N-E/B","16mar","","32.71142422981715","-117.1495908831382"
"63","MTS_10117","10117","10117","Logan Av & Sigsbee St","32.7038153","-117.1477599","MTS","1.0","N-E/B","","","32.70381054392544","-117.14774800789888"
